HOME,MATCHUP,ROAD,GAME DATE,W/L,SPREAD,TOTAL,H.OeFG,H.OTOV,H.OREB,H.OFT,H.OeFGL5,H.OTOVL5,H.OREBL5,H.OFTL5,H.DeFG,H.DTOV,H.DREB,H.DFT,H.DeFGL5,H.DTOVL5,H.DREBL5,H.DFTL5,H.PACE,H.PIE,H.REST,H.B2B,H.TRAV,H.3IN4,R.OeFG,R.OTOV,R.OREB,R.OFT,R.OeFGL5,R.OTOVL5,R.OREBL5,R.OFTL5,R.DeFG,R.DTOV,R.DREB,R.DFT,R.DeFGL5,R.DTOVL5,R.DREBL5,R.DFTL5,R.PACE,R.PIE,R.REST,R.B2B,R.TRAV,R.3IN4,H.ORTG,H.DRTG,H.NRTG,H.ORTGL5,H.DRTGL5,H.NRTGL5,R.ORTG,R.DRTG,R.NRTG,R.ORTGL5,R.DRTGL5,R.NRTGL5,H.PPG,H.PPGA,H.PPGL5,H.PPGAL5,R.PPG,R.PPGA,R.PPGL5,R.PPGAL5,H.PTS,R.PTS,Diff,ActTotal
MIA,MIA vs. BOS,BOS,11/9/2013,L,-13,193,0.573660714,16.39929856,19.35483871,0.25,0.570478723,15.84755048,20.32967033,0.239361702,0.518558952,17.40794179,70.98214286,0.262008734,0.530666667,17.50646978,69.66292135,0.272,93.63246667,54.54545455,2,0,0,0,0.462,17.2,26.8,0.221,0.454,16.3,28.1,0.208,0.465,16.3,67.4,0.222,0.463,16.4,69.4,0.239,93.5,48.2,1,1,1,1,109.0820381,103.904722,5.177316067,109.465958,106.0400407,3.425917266,93.6825242,97.33893557,-3.65641137,93.85665529,97.25256259,-3.395907304,104.3333333,99.16666667,103.8,100,89.66666667,92.66666667,90.2,92.6,110,111,1,221
MEM,MEM vs. GSW,GSW,11/9/2013,W,-3,191,0.495024876,16.54029141,25.38071066,0.211442786,0.495024876,16.54029141,25.38071066,0.211442786,0.51653944,15.31190926,74.74747475,0.256997455,0.51653944,15.31190926,74.74747475,0.256997455,92.83968,47.30500951,3,0,0,0,0.56,18.4,20.9,0.175,0.546,19.4,21.3,0.168,0.428,15.3,74.6,0.237,0.425,15.5,73.1,0.249,100.9,59.8,1,1,1,1,98.95918702,105.8455115,-6.886324464,98.95918702,105.8455115,-6.886324464,103.3030662,90.14461362,13.15845257,99.84120683,90.4838586,9.357348228,96.6,101.4,96.6,101.4,104.6666667,94.33333333,100.6,94.4,108,90,-18,198
BKN,BKN vs. IND,IND,11/9/2013,L,1,187.5,0.485185185,15.26828559,23.90243902,0.24691358,0.485185185,15.26828559,23.90243902,0.24691358,0.481707317,14.87135383,73.05936073,0.268292683,0.481707317,14.87135383,73.05936073,0.268292683,96.02688,48.56952761,1,1,1,0,0.507,17.4,24.8,0.235,0.503,16.9,24.2,0.221,0.411,15.2,74.3,0.185,0.406,15,74.7,0.213,93.8,62.9,1,1,1,1,98.37177748,101.1780734,-2.806295933,98.37177748,101.1780734,-2.806295933,99.56527836,87.51902588,12.04625249,99.28330523,88.25511838,11.02818685,98.6,101,98.6,101,94.66666667,84.33333333,94.2,83.8,91,96,5,187
HOU,HOU vs. LAC,LAC,11/9/2013,L,-2.5,214.5,0.532222222,17.0362843,29.77777778,0.368888889,0.532085561,16.85592619,28.49462366,0.403743316,0.46875,12.52952359,73.88316151,0.198529412,0.484581498,13.44543536,73.22175732,0.209251101,99.6758,56.59856433,2,0,0,0,0.533,14,27.6,0.26,0.531,13.9,28.6,0.281,0.541,15.2,73.3,0.263,0.545,15.1,75.9,0.279,98.2,51.8,2,0,0,1,107.1143882,99.94178149,7.172606716,107.520564,102.1850409,5.335523168,109.9721338,108.3622299,1.60990383,111.1640464,108.2023018,2.96174454,107.5,103,109.8,107,110.5,108.3333333,112,106.8,94,107,13,201
ATL,ATL vs. ORL,ORL,11/9/2013,W,-6.5,199,0.517942584,12.44782895,19.81981982,0.222488038,0.517942584,12.44782895,19.81981982,0.222488038,0.53452381,14.54880295,78.81773399,0.185714286,0.53452381,14.54880295,78.81773399,0.185714286,98.22344,51.35710484,2,0,0,0,0.503,15.7,26,0.166,0.518,15.5,25.6,0.189,0.419,12.1,72.8,0.221,0.402,10.7,72.9,0.208,97.7,53.4,1,1,1,1,104.7224656,105.4,-0.677534443,104.7224656,105.4,-0.677534443,99.48778566,94.44517573,5.042609931,102.625959,93.22232645,9.403632575,105.2,105.4,105.2,105.4,101,95.66666667,103.8,95.4,104,94,-10,198
CLE,CLE vs. PHI,PHI,11/9/2013,L,-8,200,0.43444227,14.30920051,27.10622711,0.17221135,0.432084309,14.70696375,25.32751092,0.152224824,0.480290456,15.831626,76.34854772,0.217842324,0.485,16.20956924,76,0.215,95.56633333,43.73160683,1,1,1,1,0.514,16.6,25.7,0.169,0.5,16.6,25.8,0.154,0.496,14.6,72.4,0.132,0.48,14.1,70.9,0.135,101.2,49.8,1,1,1,1,91.26466754,96.71706852,-5.452400983,89.30776196,96.98805042,-7.680288462,99.14375845,100.5570309,-1.413272446,96.39757278,99.25413721,-2.856564429,88.66666667,94.66666667,86.8,94.8,102.6666667,103.5,100.4,102.2,127,125,-2,252
SAC,SAC vs. POR,POR,11/9/2013,L,-2,198.5,0.455205811,12.79157261,25.11415525,0.225181598,0.455205811,12.79157261,25.11415525,0.225181598,0.541450777,16.08277786,76.37362637,0.225388601,0.541450777,16.08277786,76.37362637,0.225388601,93.06864,41.74633525,1,1,1,0,0.514,12.4,26.7,0.185,0.514,12.4,26.7,0.185,0.497,11.5,71.6,0.183,0.497,11.5,71.6,0.183,95.8,52.4,1,1,1,0,98.40537138,106.7472732,-8.341901808,98.40537138,106.7472732,-8.341901808,106.8951448,105.5528175,1.342327359,106.8951448,105.5528175,1.342327359,93.8,101,93.8,101,104.8,102.8,104.8,102.8,85,96,11,181
TOR,TOR vs. UTA,UTA,11/9/2013,W,-9,187,0.466942149,14.30457746,33.33333333,0.210743802,0.466080402,13.98360279,31.45539906,0.226130653,0.514099783,14.29228545,78.96995708,0.199566161,0.515189873,12.79628317,78.68020305,0.182278481,90.6402,45.35585042,1,1,1,1,0.422,17.4,32.8,0.22,0.408,17,34.7,0.213,0.497,15.6,71.8,0.262,0.508,16.2,70.6,0.242,94.7,38.9,1,1,1,1,100.6979788,101.1219896,-0.424010796,101.309775,102.7985235,-1.488748514,89.3894852,102.658686,-13.26920077,88.37963733,102.9040404,-14.52440307,92.33333333,94.33333333,92.2,95.8,87.16666667,98.33333333,85,97.8,115,91,-24,206
LAL,LAL vs. MIN,MIN,11/10/2013,L,4,209,0.469004894,14.20454545,21.9941349,0.184339315,0.46287703,13.84991726,19.75308642,0.183294664,0.509001637,12.13964424,78.27476038,0.191489362,0.480769231,11.38141983,78.01724138,0.194570136,100.4556,42.73824386,2,0,0,1,0.455,13.6,25.5,0.282,0.453,14,25.4,0.282,0.5,17.1,71.6,0.136,0.495,17.7,71.7,0.142,100.4,53.3,2,0,0,0,95.48659302,103.4202866,-7.933693594,94.10189779,99.93741688,-5.835519095,99.08152994,98.01053248,1.07099747,98.09956144,96.95621076,1.143350677,98.28571429,105.5714286,95.6,102.2,105,100.5,102,97.6,90,113,23,203
PHX,PHX vs. NOP,NOP,11/10/2013,W,1.5,196.5,0.514227642,16.84677028,25.10121457,0.193089431,0.508557457,17.36111111,24.51923077,0.19804401,0.46686747,14.80362538,76.2962963,0.226907631,0.46882494,15.09596722,76.23318386,0.230215827,97.58186667,52.72727273,2,0,0,0,0.465,12.6,27.6,0.221,0.472,12.4,26.5,0.225,0.503,16.2,78.6,0.245,0.504,15.9,77.9,0.224,92.9,52.3,2,0,0,0,100.690256,96.65551839,4.034737603,99.01187346,96.73446687,2.277406588,101.1763058,99.25821265,1.918093194,102.2975013,99.1507431,3.146758158,100.1666667,96.33333333,99.4,97.4,96.33333333,93.66666667,97.6,93.4,101,94,-7,195
