"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"7","SAC","WAS",2015-03-22,1,4,0,0.344494735462264,0,0.344494735462264,0,0.381140357814445,0,"0","0",0.392446335269882,0,0.376884251832962,0.36
"12","LAC","PHX",2013-12-30,0,-7.5,1,0.653018318982595,1,0.653018318982595,1,0.65714272769461,1,"1","1",0.658157600548154,1,0.667233347892761,0.87
"15","NYK","BKN",2014-04-02,1,-2.5,1,0.545896655994694,1,0.545896655994694,1,0.52048355210205,1,"1","1",0.500440688635964,1,0.521856784820557,0.59
"27","LAC","LAL",2014-01-10,1,-10,1,0.871796664062187,1,0.871796664062187,1,0.865623742806197,1,"1","1",0.839995651402558,1,0.872790098190308,1
"28","MIN","SAS",2014-04-08,1,7,0,0.352516842806721,0,0.352516842806721,0,0.32421240093104,0,"0","0",0.366346972017789,0,0.333911061286926,0.2
"32","IND","ORL",2016-03-31,0,-6,1,0.670517220368465,1,0.670517220368465,1,0.660957314361382,1,"1","1",0.652725561607664,1,0.667111694812775,0.69
"34","ATL","NOP",2016-11-22,0,-8,1,0.87846152026518,1,0.87846152026518,1,0.858765156885147,1,"1","1",0.817305573503293,1,0.851727426052094,0.93
"36","GSW","CLE",2017-01-16,1,-9,1,0.770267316631459,1,0.770267316631459,1,0.786643306133774,1,"1","1",0.762616298095276,1,0.778768718242645,0.96
"39","LAL","PHX",2014-03-30,1,9.5,0,0.449788734202771,0,0.449788734202771,0,0.370363455122484,0,"0","0",0.386692428493321,0,0.398731410503387,0.31
"42","CHA","DEN",2014-12-22,1,-2.5,1,0.679358489461218,1,0.679358489461218,1,0.643424427758857,1,"0","1",0.630599470213498,1,0.657649099826813,0.61
"43","DEN","BKN",2015-02-23,0,2.5,0,0.528554352849004,1,0.528554352849004,1,0.577070668469864,1,"1","1",0.588951330235359,1,0.59434574842453,0.69
"44","DEN","PHI",2015-03-25,0,-11.5,1,0.761174029865653,1,0.761174029865653,1,0.724345077207457,1,"1","1",0.712199404223809,1,0.750892877578735,0.85
"47","NYK","LAC",2016-01-22,0,2.5,0,0.388993694309673,0,0.388993694309673,0,0.45545354572133,0,"0","0",0.474009085009936,0,0.438566297292709,0.29
"48","GSW","SAS",2016-01-25,1,-4.5,1,0.424804991728453,0,0.424804991728453,0,0.512173665135622,1,"1","1",0.528314870235652,1,0.516843914985657,0.6
"63","DAL","IND",2014-11-24,0,-14,1,0.857368402028483,1,0.857368402028483,1,0.924945726412292,1,"1","1",0.902500407666788,1,0.927318692207336,0.91
"74","GSW","LAL",2016-11-23,1,-18,1,0.865628966311422,1,0.865628966311422,1,0.838412970506306,1,"1","1",0.822114714663707,1,0.845444202423096,0.96
