"","HOME","ROAD","GAME.DATE","SPREAD","H.PTS","R.PTS","Diff","sprError","VegDiffPred","VegHPred","VegRPred","PredDifflm01","PredDifflm02","PredHlm01","PredHlm02","PredRlm01","PredRlm02","dpcalm","Hpcalm","Rpcalm","PredDiffRF","PredHRF","PredRRF","PredDiffXGB","PredHXGB","PredRXGB","PredDiffglm","PredHglm","PredRglm"
"7","SAC","WAS",2015-03-22,4,109,86,-23,-27,4.04614812723903,102.669935989395,106.759508359191,3.04722876176121,3.12423922270933,99.6704360300363,99.3134207641723,103.422180337218,102.826575709625,2.50769929015881,99.8181711172838,102.803267824858,1.05927210884354,100.960727891156,102.42912585034,-1.97276544570923,100.520645141602,94.5976104736328,1.99121454472069,100.981355897267,102.162258845435
"12","LAC","PHX",2013-12-30,-7.5,88,107,19,26.5,-7.10333017226983,108.072388652025,100.912539470399,-4.45439560443871,-4.12712350172012,106.929898708385,106.539424546455,103.743016819852,104.360346717951,-4.53837363744846,108.129354716153,103.991806516417,-6.37592517006803,107.528442176871,101.023527210884,-7.02609968185425,103.794303894043,100.423583984375,-4.33215284345386,106.150607616339,102.182135922685
"15","NYK","BKN",2014-04-02,-2.5,110,81,-29,-26.5,-2.25573091161381,98.9864455376018,96.7709365075047,-1.76421889967472,-2.00103767402367,98.7912625382592,99.3997876449807,98.3078281561959,98.4544990612926,-1.12171880756297,99.4066356064538,98.4011635639814,-0.768285714285714,98.3278095238095,100.494826530612,-1.98559093475342,96.9234085083008,96.7957916259766,-1.35366114806812,100.151791117032,99.6684607637946
"27","LAC","LAL",2014-01-10,-10,123,87,-36,-26,-9.52712980259785,110.036916892981,100.425292063,-12.6537682576897,-11.8863620428574,112.663174073522,112.346350492977,98.8268742060711,98.790858523332,-12.2502089372483,111.137549570685,98.5691137641456,-11.2158095238095,110.698986394558,97.9216768707483,-9.05054378509521,108.844635009766,98.8806915283203,-9.00825611887901,108.14960723404,99.5208633770483
"28","MIN","SAS",2014-04-08,7,110,91,-19,-26,6.95470768363264,100.459841718319,107.49037947029,2.7709047609375,1.9544397880225,102.523586967463,101.993106382343,105.652528249484,105.330124311571,3.48279694374849,102.614791421229,105.354664214053,5.53570068027211,100.947353741497,107.640853741497,3.33468914031982,103.935028076172,107.101356506348,1.82084653249566,102.882569500089,104.060353361373
"32","IND","ORL",2016-03-31,-6,94,114,20,26,-5.64905039407303,107.335690561666,101.643410581498,-3.7981176365396,-3.90977600421316,104.295557716328,103.811208340684,101.051339210714,100.767066521911,-4.26071344052427,104.113442751898,101.171444791964,-4.15619047619047,104.625714285714,100.657843537415,-4.51789522171021,103.877822875977,100.745040893555,-4.03238383046144,104.271132294032,101.253038162348
"34","ATL","NOP",2016-11-22,-8,94,112,18,26,-7.58809009833544,108.809086742383,101.156163174099,-10.2879395857115,-10.9822916860006,110.657093493626,110.506966567027,101.18277999963,102.109139955884,-11.6353374524268,111.676436704185,100.497217404402,-11.0267619047619,107.472931972789,100.926833333333,-11.6876735687256,111.122840881348,105.060997009277,-9.43352687066534,109.118485780438,101.130399317644
"36","GSW","CLE",2017-01-16,-9,126,91,-35,-26,-8.55760995046664,118.140595886926,109.439369099887,-7.32465015678618,-7.12834258164637,118.014069114376,118.10284903828,108.760243617335,108.747855703714,-7.49746586998447,117.878599629235,109.20762724781,-7.85762585034014,116.706034013605,109.209680272109,-10.0883989334106,115.338050842285,113.070648193359,-7.23940377286154,114.79825481743,107.142637136091
"39","LAL","PHX",2014-03-30,9.5,115,99,-16,-25.5,9.37850731396066,107.826822621905,117.235327618277,2.77454217380815,3.02865400600728,107.262540237948,106.984865499131,108.646629196928,109.61013295523,3.91682654818267,106.397611599938,109.659911381642,4.33369727891157,103.891823129252,110.067047619048,4.06357192993164,101.089782714844,106.846817016602,2.56656429239203,105.087059069411,107.025399453379
"42","CHA","DEN",2014-12-22,-2.5,110,82,-28,-25.5,-2.25573091161381,101.933237899036,99.6944209519007,-4.38280224960637,-3.96839592904596,100.798143901116,100.238094166028,97.2467152395624,96.0511666801444,-3.57015433004105,100.07291555025,98.3504087662034,-0.358438775510204,98.8941088435375,96.8274421768708,4.76956462860107,99.5806732177734,97.2208786010742,-1.97248903121048,100.679374837846,99.4219906641809
